Date,Adams,Allegheny,Armstrong,Beaver,Bedford,Berks,Blair,Bradford,Bucks,Butler,Cambria,Cameron,Carbon,Centre,Chester,Clarion,Clearfield,Clinton,Columbia,Crawford,Cumberland,Dauphin,Delaware,Elk,Erie,Fayette,Forest,Franklin,Fulton,Greene,Huntingdon,Indiana,Jefferson,Juniata,Lackawanna,Lancaster,Lawrence,Lebanon,Lehigh,Luzerne,Lycoming,McKean,Mercer,Mifflin,Monroe,Montgomery,Montour,Northampton,Northumberland,Perry,Philadelphia,Pike,Potter,Schuylkill,Snyder,Somerset,Sullivan,Susquehanna,Tioga,Union,Venango,Warren,Washington,Wayne,Westmoreland,Wyoming,York,Total
2020-04-03,0,2,0,2,0,1,0,0,8,2,0,0,1,0,2,0,0,0,0,0,2,1,10,0,0,1,0,0,0,0,0,0,0,0,4,5,2,0,5,5,0,0,0,0,10,11,0,10,0,1,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,102
2020-04-04,0,3,0,6,0,2,0,0,11,2,0,0,1,0,2,0,0,0,0,0,2,1,13,0,0,1,0,0,0,0,0,0,0,0,6,5,2,0,7,5,0,0,0,0,11,17,0,11,0,1,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,136
2020-04-05,0,4,0,6,0,3,0,0,14,2,0,0,1,0,2,0,0,0,0,0,2,1,14,0,0,1,0,0,0,0,0,0,0,0,6,8,2,0,8,5,0,0,0,0,11,18,0,11,0,1,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,151
2020-04-06,0,4,0,6,0,3,0,0,17,2,0,0,1,0,3,0,0,0,0,0,2,1,15,0,0,1,0,0,0,0,0,0,0,0,7,11,2,0,8,5,0,0,0,0,11,18,0,12,0,1,28,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,162
2020-04-07,0,6,0,9,0,4,0,0,21,2,1,0,1,0,6,0,0,0,1,0,2,1,20,0,0,1,0,0,0,0,0,0,0,0,8,14,2,0,10,8,0,0,0,0,12,30,0,14,0,1,58,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,240
2020-04-08,0,10,0,13,0,7,0,0,22,2,1,0,1,0,6,0,0,0,1,0,2,2,23,0,0,1,0,0,0,0,0,0,0,0,10,16,2,0,11,11,0,0,0,0,17,37,0,17,0,1,86,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,309
2020-04-09,1,12,0,13,0,8,0,0,23,2,1,0,2,0,7,0,0,0,2,0,2,2,26,0,0,1,0,0,0,0,0,0,0,0,16,17,2,0,13,12,0,0,0,0,19,37,0,20,0,1,86,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,3,338
2020-04-10,1,18,0,13,0,12,0,0,26,3,1,0,3,0,9,0,0,0,2,0,2,2,30,0,0,1,0,0,0,0,0,0,0,0,18,21,3,1,16,15,0,0,0,0,19,50,0,21,0,1,110,6,0,1,1,0,0,2,0,0,0,0,0,0,5,0,3,416
2020-04-11,1,19,1,13,1,19,0,0,29,3,1,0,3,0,15,0,0,0,2,0,3,3,39,0,0,3,0,0,0,0,0,0,0,0,20,23,4,1,16,17,0,0,0,0,22,60,0,23,0,1,130,6,0,2,1,0,0,2,1,0,0,0,0,1,6,0,3,494
2020-04-12,1,19,1,13,1,20,0,0,32,4,1,0,3,0,17,0,0,0,3,0,3,4,39,0,0,3,0,0,0,0,0,0,0,0,20,24,4,1,18,17,0,0,0,0,23,63,0,23,0,1,128,6,0,2,1,0,0,1,1,0,0,0,0,1,6,0,3,507
2020-04-13,1,21,1,13,1,21,0,0,36,4,1,0,3,0,17,0,0,0,3,0,3,4,40,0,0,3,0,0,0,0,0,0,0,0,21,24,4,2,19,21,0,0,0,0,24,65,0,23,0,1,127,6,0,2,1,0,0,1,1,0,0,0,0,1,6,0,3,524
2020-04-14,1,24,1,14,1,27,0,0,40,5,1,0,3,0,20,0,0,0,3,0,4,5,45,0,0,3,0,0,0,0,0,0,0,0,24,26,4,2,23,26,0,0,0,0,27,76,0,25,0,1,131,6,0,2,1,0,0,1,1,0,0,0,1,1,6,0,3,584
2020-04-15,1,26,1,14,1,28,0,0,51,5,1,0,6,0,25,0,0,0,3,0,4,5,59,0,0,3,0,0,0,0,0,1,0,0,26,29,5,2,25,27,0,0,0,0,28,82,0,25,0,1,132,7,0,3,1,0,0,1,1,0,0,0,1,2,11,0,4,647
2020-04-16,1,38,1,14,1,31,0,0,56,5,1,0,6,0,28,0,0,0,3,0,4,7,69,0,0,3,0,0,0,0,0,2,0,0,28,33,5,2,28,28,0,0,0,0,29,89,0,25,0,1,134,7,0,4,1,0,0,1,1,0,0,0,1,2,13,1,4,707
2020-04-17,1,43,2,15,1,34,0,0,64,5,1,0,7,1,30,0,0,0,3,0,4,7,73,0,0,3,0,0,0,0,0,3,0,0,30,35,5,2,29,31,0,0,1,0,29,97,0,27,0,1,136,8,0,4,1,0,0,1,1,0,0,0,1,2,13,1,4,756
